date,contract,underlying,expiration,right,strike,open,high,low,close,volume
2025-11-21,JNJ260102C00190000,JNJ,2026-01-02,C,190.0,16.56999969482422,16.56999969482422,16.56999969482422,16.56999969482422,3.0
2025-11-17,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,4.849999904632568,4.989999771118164,4.300000190734863,4.989999771118164,0.0
2025-11-18,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,4.699999809265137,4.699999809265137,4.699999809265137,4.699999809265137,1.0
2025-11-19,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,6.579999923706055,6.579999923706055,6.579999923706055,6.579999923706055,2.0
2025-11-21,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,8.399999618530273,8.399999618530273,8.399999618530273,8.399999618530273,15.0
2025-11-24,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,6.75,7.909999847412109,6.75,7.630000114440918,106.0
2025-11-25,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,10.0,10.079999923706055,10.0,10.079999923706055,6.0
2025-11-26,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,9.819999694824219,9.819999694824219,9.819999694824219,9.819999694824219,3.0
2025-12-02,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,7.5,7.5,6.5,6.570000171661377,15.0
2025-12-04,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,5.5,5.5,5.300000190734863,5.300000190734863,6.0
2025-12-05,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,1.0
2025-12-08,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,5.429999828338623,5.699999809265137,5.400000095367432,5.699999809265137,7.0
2025-12-09,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,5.75,6.329999923706055,4.650000095367432,4.650000095367432,4.0
2025-12-10,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,5.889999866485596,6.449999809265137,5.889999866485596,6.449999809265137,22.0
2025-12-11,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,9.949999809265137,12.100000381469727,9.949999809265137,10.949999809265137,11.0
2025-12-12,JNJ260102C00200000,JNJ,2026-01-02,C,200.0,12.25,12.25,12.050000190734863,12.050000190734863,5.0
2025-11-24,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,3.0
2025-11-25,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,4.199999809265137,4.199999809265137,3.8499999046325684,4.199999809265137,18.0
2025-11-28,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,3.799999952316284,3.799999952316284,2.859999895095825,2.859999895095825,4.0
2025-12-02,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,2.25,2.25,1.8799999952316284,1.8799999952316284,19.0
2025-12-03,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,3.0
2025-12-04,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,1.5099999904632568,1.5199999809265137,1.2599999904632568,1.2599999904632568,47.0
2025-12-05,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,1.4600000381469727,1.4800000190734863,1.149999976158142,1.149999976158142,4.0
2025-12-08,JNJ260102C00210000,JNJ,2026-01-02,C,210.0,1.0,1.2000000476837158,1.0,1.0399999618530273,47.0
